split_level,split_role,repeat_id,split_id,outer_fold,inner_fold,target_name,row_index,sample_id,group_id,Folder,File,SMILES
outer_cv,train,1,1,1,,,58,Group 5/55.log,Group 5,Group 5,55.log,CC(C1=CC2=C(OCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC5=C4OCCC#CC(C(C=C6S5)=CC(S2)=C6OCCCCCCCCCCCC)(C)C)=C3OCCCCCCCCCCCC)=C1)(C)C
outer_cv,train,1,1,1,,,59,Group 5/56.log,Group 5,Group 5,56.log,CC(C1=CC2=C(OCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCCCCCCC)=C4OCCCC#C)=C3OCCCCCCCCCCCC)=C1)(C)C
outer_cv,train,1,1,1,,,60,Group 5/57.log,Group 5,Group 5,57.log,CC(C1=CC2=C(OCCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCCCCCCC)=C4OCCCCC#C)=C3OCCCCCCCCCCCC)=C1)(C)C
outer_cv,train,1,1,1,,,61,Group 6/58.log,Group 6,Group 6,58.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCBr)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,62,Group 6/59.log,Group 6,Group 6,59.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCBr)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,63,Group 6/60.log,Group 6,Group 6,60.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCBr)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,64,Group 6/61.log,Group 6,Group 6,61.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4OCCCBr)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)OCCCBr)C=C5[N+]([O-])=O
outer_cv,train,1,1,1,,,65,Group 6/62.log,Group 6,Group 6,62.log,CC(C1=CC2=C(OCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCBr)=C4OCCCBr)=C3OCCCBr)=C1)(C)C
outer_cv,train,1,1,1,,,66,Group 6/63.log,Group 6,Group 6,63.log,CC(C1=CC2=C(OCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCBr)=C4OCCCCBr)=C3OCCCCBr)=C1)(C)C
outer_cv,train,1,1,1,,,67,Group 6/64.log,Group 6,Group 6,64.log,CC(C1=CC2=C(OCCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCBr)=C4OCCCCCBr)=C3OCCCCCBr)=C1)(C)C
outer_cv,train,1,1,1,,,68,Group 6/65.log,Group 6,Group 6,65.log,CC(C1=CC2=C(OCCCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCBr)=C4OCCCCCCBr)=C3OCCCCCCBr)=C1)(C)C
outer_cv,train,1,1,1,,,69,Group 6/66.log,Group 6,Group 6,66.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCBr)=C4OCCCCCCCCCCCC)=C3OCCCBr)=C1)(C)C
outer_cv,train,1,1,1,,,70,Group 6/67.log,Group 6,Group 6,67.log,CC(C1=CC2=C(OCCCCCCOC3=C(SC4=CC(C(C)(C)C)=CC(S2)=C4OCCCCCCBr)C=C(C(C)(C)C)C=C3S5)C(SC6=CC(C(C)(C)C)=CC5=C6OCCCCCCBr)=C1)(C)C
outer_cv,train,1,1,1,,,71,Group 7/68.log,Group 7,Group 7,68.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(CC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9
outer_cv,train,1,1,1,,,72,Group 7/69.log,Group 7,Group 7,69.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9
outer_cv,train,1,1,1,,,73,Group 7/70.log,Group 7,Group 7,70.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4OCCCBr)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)OCCCBr)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9
outer_cv,train,1,1,1,,,74,Group 7/71.log,Group 7,Group 7,71.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCOC6=CC=C(/N=N/C7=CC=C([N+]([O-])=O)C=C7)C=C6)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCOC8=CC=C(/N=N/C9=CC=C([N+]([O-])=O)C=C9)C=C8)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,75,Group 7/72.log,Group 7,Group 7,72.log,OC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
outer_cv,train,1,1,1,,,76,Group 7/73.log,Group 7,Group 7,73.log,OCCCOC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
outer_cv,train,1,1,1,,,77,Group 7/74.log,Group 7,Group 7,74.log,CCCCCCCCOC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
outer_cv,train,1,1,1,,,78,Group 7/75.log,Group 7,Group 7,75.log,OCCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
outer_cv,train,1,1,1,,,79,Group 8/76.log,Group 8,Group 8,76.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,80,Group 8/77.log,Group 8,Group 8,77.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCN)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,81,Group 8/78.log,Group 8,Group 8,78.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
outer_cv,train,1,1,1,,,82,Group 8/79.log,Group 8,Group 8,79.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
